searchDate,flightDate,daysInAdvance,numberOfConnections,travelDistanceMinutes,baseFare
9/1/2022,9/2/2022,1,0,164,149.77
9/1/2022,9/2/2022,1,0,167,149.77
9/1/2022,9/2/2022,1,1,353,149.77
9/1/2022,9/2/2022,1,1,250,149.77
9/1/2022,9/2/2022,1,1,315,149.77
9/1/2022,9/2/2022,1,0,168,211.86
9/1/2022,9/2/2022,1,1,647,248.37
9/1/2022,9/2/2022,1,1,743,248.37
9/1/2022,9/2/2022,1,0,171,357.98
9/1/2022,9/3/2022,2,0,164,149.77
9/1/2022,9/3/2022,2,0,167,149.77
9/1/2022,9/3/2022,2,1,300,149.77
9/1/2022,9/3/2022,2,1,315,149.77
9/1/2022,9/3/2022,2,1,316,149.77
9/1/2022,9/3/2022,2,1,329,149.77
9/1/2022,9/3/2022,2,1,414,149.77
9/1/2022,9/3/2022,2,1,420,149.77
9/1/2022,9/3/2022,2,1,421,149.77
9/1/2022,9/3/2022,2,1,250,149.77
9/1/2022,9/3/2022,2,1,300,149.77
9/1/2022,9/3/2022,2,1,300,149.77
9/1/2022,9/3/2022,2,1,322,149.77
9/1/2022,9/3/2022,2,1,372,149.77
9/1/2022,9/3/2022,2,1,376,149.77
9/1/2022,9/3/2022,2,1,392,149.77
9/1/2022,9/3/2022,2,0,171,192.56
9/1/2022,9/3/2022,2,1,743,248.37
9/1/2022,9/3/2022,2,1,690,362.79
9/1/2022,9/4/2022,3,0,164,149.77
9/1/2022,9/4/2022,3,0,167,149.77
9/1/2022,9/4/2022,3,1,300,149.77
9/1/2022,9/4/2022,3,1,315,149.77
9/1/2022,9/4/2022,3,1,316,149.77
9/1/2022,9/4/2022,3,1,329,149.77
9/1/2022,9/4/2022,3,1,353,149.77
9/1/2022,9/4/2022,3,1,389,149.77
9/1/2022,9/4/2022,3,1,420,149.77
9/1/2022,9/4/2022,3,1,421,149.77
9/1/2022,9/4/2022,3,1,442,149.77
9/1/2022,9/4/2022,3,1,250,149.77
9/1/2022,9/4/2022,3,1,295,149.77
9/1/2022,9/4/2022,3,1,315,149.77
9/1/2022,9/4/2022,3,1,316,149.77
9/1/2022,9/4/2022,3,1,316,149.77
9/1/2022,9/4/2022,3,1,317,149.77
9/1/2022,9/4/2022,3,1,348,149.77
9/1/2022,9/4/2022,3,1,350,149.77
9/1/2022,9/4/2022,3,1,376,149.77
9/1/2022,9/4/2022,3,1,381,149.77
9/1/2022,9/4/2022,3,1,382,149.77
9/1/2022,9/4/2022,3,1,387,149.77
9/1/2022,9/4/2022,3,1,411,149.77
9/1/2022,9/4/2022,3,1,431,149.77
9/1/2022,9/4/2022,3,1,475,149.77
9/1/2022,9/4/2022,3,0,168,175.81
9/1/2022,9/4/2022,3,0,171,175.81
9/1/2022,9/4/2022,3,1,647,211.16
9/1/2022,9/4/2022,3,1,743,211.16
9/1/2022,9/5/2022,4,0,164,152.56
9/1/2022,9/5/2022,4,0,167,152.56
9/1/2022,9/5/2022,4,1,300,152.56
9/1/2022,9/5/2022,4,1,315,152.56
9/1/2022,9/5/2022,4,1,316,152.56
9/1/2022,9/5/2022,4,1,329,152.56
9/1/2022,9/5/2022,4,1,353,152.56
9/1/2022,9/5/2022,4,1,389,152.56
